candidate_id,created_at,source,location,years_experience,email_hash
787d3050-9eb5-4d39-b629-c2a6f5dc3b67,2023-05-22,CareerSite,Austin,12,93446f17ed6457b1
4614d131-1d6f-46be-b0be-b4ee0b51197e,2023-06-01,Referral,Fremont,11,6e23ae818ce6709a
43f37c04-c3c3-4691-bfd8-e2030ce059e3,2023-06-04,LinkedIn,Other,8,70141dc13ddd90b4
808ccf41-7c57-4759-8497-402eaaf29cba,2023-05-21,LinkedIn,Austin,35,a400ff95eb15ea17
b6f8ce34-8d88-4a14-99e1-659fcf160957,2023-05-30,Referral,Remote,6,8717195c92805af2
586bcbf0-4a9c-4477-892d-ec6b576e0619,2023-01-07,CareerSite,Remote,30,3fc428699d4fd8ee
8819508b-f358-4037-870a-5fa9c0928cb9,2023-08-14,CareerSite,Dallas,3,b23f41afa5f47b19
ee6e0dc4-844b-4be6-8542-f451d31ea8b7,2023-05-10,Agency,Austin,4,eff3cfda4c3ba15e
8856ec74-6254-4e50-bba1-c3c87c72f7be,2023-07-25,Agency,Austin,36,ab4110dc8b7b2446
776ff946-e5aa-4fb3-aabf-960acb24fe0f,2023-11-19,LinkedIn,Dallas,9,f6450ec13214c107
efa9ae44-9e24-42d7-ab65-30684747af66,2023-10-16,CareerSite,Austin,15,8595c3241b3338d7
b5d50912-5cdf-432b-9c00-e27f5e446e83,2023-03-02,Agency,Other,38,358418a37e6ea7e7
bb3c5941-3d07-4a39-b239-f242c4f76def,2023-11-13,Referral,Other,24,041828bfb2b50728
9d0ff533-c3c2-4946-b550-ae86097c7959,2023-08-19,Agency,Fremont,37,20d2dd0a416d9563
3f684740-3479-4bf3-98f7-cd910f075ff7,2023-08-08,CareerSite,Other,39,e5c30df880ce0b25
e516b8b2-a5dc-49a8-8e5b-2d4a585acb7d,2023-01-31,LinkedIn,Dallas,40,aa91bb1289552259
6744b9ac-d0db-4c81-94e0-86f16e30d4f1,2023-04-19,CareerSite,Austin,10,0955d96be0310a3d
ad7f6ad2-8cd8-45b9-883a-fcaf51df08dd,2023-05-03,Referral,Other,4,e08e7940d8b7ae12
a9ca4120-62ac-43c3-89ef-324ed9659382,2023-03-22,LinkedIn,Remote,28,e5c3a3eab2dfaa06
daa68087-381f-4481-a71e-722133f40c7f,2023-12-19,Agency,Fremont,2,ad61d31be328fa61
c7fcecaf-8c19-4fa8-b618-7a69ebc70ee7,2023-04-29,CareerSite,Fremont,44,24bc87b2b67c3077
9e84a7f2-6826-4e7c-81c1-04bc983e6108,2023-08-21,LinkedIn,Dallas,16,c50b3d06a14d5c8a
d2b4d964-eb84-4dbf-af61-964ef25645dd,2023-11-17,Referral,Remote,7,ebc9c628a8057b6c
75962e23-d938-41dd-8b20-36a8a0866f3a,2023-10-06,Referral,Dallas,17,b0fd4d943af457dd
875e46c4-6759-401c-9f8e-9a5ac61f6062,2023-03-14,LinkedIn,Austin,10,761d6a1bf9580e75
728ba9ad-5999-44ee-8437-281af07f19b2,2023-06-07,CareerSite,Remote,7,e7ed041cf7316da3
c97f6787-c8f2-4696-8929-fe62348c9310,2023-08-28,CareerSite,Remote,17,0ca5be342b990ecf
8951d435-f2a9-4570-8b8a-e5aaa1448761,2023-09-14,Agency,Remote,5,d246541e19cfec79
b45f0a01-c891-447d-bcf1-adab578a4891,2023-11-03,LinkedIn,Remote,47,96219489e0c9512c
3ef37491-fea9-4755-b13e-d3321fdd9098,2023-06-15,CareerSite,Austin,5,33e3f996588677ce
1c7e7857-d336-4b8b-a8e9-9ca833937bbf,2023-04-28,LinkedIn,Fremont,36,8d61c59accd90a88
1a8fd3f9-9be1-43db-9a5e-408cb0ad905f,2023-01-21,Referral,Remote,33,82f6a5dbff87da01
46800f55-d751-4d85-9bc4-a815bbcd8b71,2023-11-30,Agency,Fremont,11,57aa346d77a61b6a
12f62a25-104e-4035-96c5-d3ad198745af,2023-10-27,Agency,Remote,5,9cd52e58dcfc7bee
e1392e68-5c09-44c7-b468-583bbe634db2,2023-08-29,CareerSite,Remote,21,76d1f531d1480993
8ebb420b-4f95-4303-bfca-930413989e47,2023-06-14,LinkedIn,Dallas,21,aa5be5b724ef2c34
4aea072d-9537-4a23-8a2e-967fd55e717a,2023-07-30,Agency,Fremont,42,c2cf189e6c574b4d
51e7ca7d-b8dd-4f1e-acd0-17a0347003fd,2023-07-25,LinkedIn,Remote,5,1fe2de3ac63cab6d
1dcb25c4-221d-4841-bfb8-27fba74ce732,2023-06-11,CareerSite,Fremont,7,9610eba93c0cd4c2
ccfca3a1-1fc2-4668-8e9f-d39d0730050f,2023-07-26,LinkedIn,Other,29,37d350f248e84951
d88b3630-70e4-4f09-b062-ca4fc0647980,2023-07-31,LinkedIn,Dallas,33,34995265752bbc89
706937a6-c56d-4d39-94ba-6942f6834fc2,2023-07-05,Agency,Remote,48,ce581490b64b1af5
a47eba3f-0c17-4012-830e-12e4c9838fa8,2023-01-27,Referral,Fremont,35,4e132b417a4596b2
98e1f052-ffcd-4ad0-ae99-978daeae4fa7,2023-03-09,CareerSite,Remote,44,c0838ccb7e3ba73d
5c825ef0-a34b-41b2-93ff-805f7f4c892c,2023-09-06,LinkedIn,Austin,40,513618560f6a5b6c
05f945bb-103a-46f5-a007-09a5f630e644,2023-11-08,Referral,Dallas,19,a25be4be948d23d0
07449d64-234a-4671-bb46-fefad3b46158,2023-10-10,LinkedIn,Other,26,68daa324a0eb47a6
f271fcef-3d1f-46b6-b171-fcb2cd657ee9,2023-02-17,Referral,Austin,29,f8dbd825b20141fd
381c7852-0525-42f0-aa68-71a36f9063ab,2023-03-02,Referral,Remote,45,af7f3e6b8210c05a
48014da4-049b-4e4f-a0e8-b6ce256f4771,2023-05-30,CareerSite,Remote,30,ad5e449e40ef714c
1fdb944f-903d-4e21-b17c-b9643bcd0501,2023-08-30,Referral,Remote,35,4a37ee90281551b7
faa57d84-6f72-4ab9-9178-f9d0bcbb69a7,2023-03-16,Agency,Dallas,38,d9b9056f60a1aa69
f17e719c-8d53-480f-b41c-71d4569a281f,2023-09-18,Referral,Austin,17,38defdcc38857df8
267c3c15-edbc-4577-af98-51fd3feb09ac,2023-08-01,CareerSite,Other,17,51218c513959ae5f
490f1bbc-6631-4103-b7f5-4206d599292a,2023-01-02,CareerSite,Fremont,37,c98381af2a884f49
17772a3c-cf37-4769-9d7d-cacbdfcf1cef,2023-10-24,Agency,Dallas,28,b201c758275197b1
2b1bf07b-6914-4244-8f77-c8833ea2f708,2023-10-03,Agency,Fremont,21,c29d76a2782702d5
62b99e0e-daa9-4231-a6f4-bf4cd4c2a170,2023-10-10,Agency,Remote,20,03c4ed33aae6ea33
2e632f54-dac7-47d9-8689-ab8917b1b794,2023-04-07,Referral,Other,24,fa25111b9109276f
31be5613-734a-498c-ae63-5f677f984a01,2023-04-30,Agency,Austin,20,4cbc791290affec0
818c50a7-ea8e-4d6d-ad2e-99695154372d,2023-08-31,Agency,Remote,42,5b80008b981df594
d283dd65-acb5-4cd5-be32-db42ff91551e,2023-11-30,Referral,Remote,2,4065336b8a0e2637
02ce3c48-5f68-4a02-b13e-dd08ac66023c,2023-03-06,CareerSite,Austin,28,10e2e8c3c75f3367
0bb63022-193e-486d-865b-260d337e398f,2023-02-21,Agency,Austin,46,6ac210ea78bf6555
d828b496-b701-420d-b9cc-70cdc240dc4a,2023-03-15,Agency,Dallas,4,9abb08b2f45a28df
62e8cbec-75d6-47a5-a22a-ca9f947d8f0c,2023-08-29,CareerSite,Fremont,39,fd71157793e7e910
a75039e7-8e84-4a06-9b03-de9462a9d702,2023-12-21,Agency,Austin,21,92aa91f91a0a1660
0ce78455-962b-43da-aedf-a75af84a293c,2023-12-12,Agency,Fremont,40,313ac98549d85f50
7f84224c-d146-413a-9258-3d95302d16f7,2023-09-07,LinkedIn,Other,4,2f6814daa41611d1
30414c4d-4eee-4758-9f4d-c3df14e46ab5,2023-05-01,CareerSite,Dallas,47,9c4c7990ecc923e9
5dc6d4eb-c23d-4830-ad15-b90199ad56ca,2023-02-16,Agency,Austin,48,e774d8014053f1aa
6cf27629-d490-45b8-a791-f9cc2ebf9e49,2023-11-21,LinkedIn,Remote,10,8c18674e397d5824
1381b547-35dd-4085-a131-324a63323915,2023-12-22,CareerSite,Austin,2,9837aca8b60ae094
8ec4d985-6cce-44f9-bdff-42cb2ee32929,2023-06-16,LinkedIn,Fremont,22,02ced8c7385a5b6d
fb891ae5-14fb-48fd-97c7-a7c806092460,2023-07-11,Agency,Dallas,15,267b88a1460dc735
43ce2e1f-6faf-4662-ab29-92f96f254989,2023-09-29,Agency,Other,43,c69c9b0bb2de6ba6
c79d5746-c4e1-4c7d-b86e-73bbb7b07704,2023-04-03,Referral,Dallas,5,b0fdfa6891eca112
6a20a693-44b0-4871-987e-872da5fbb04c,2023-11-09,Agency,Other,43,abb346954e29a814
e4545c60-266d-4931-b1ff-0acb10fdbaf1,2023-05-04,Agency,Other,9,59d94969657382bd
13d271fa-30c5-431b-ac83-3bdd2dd2dba5,2023-04-29,Agency,Fremont,29,6ed6376ed6d1df19
e0c566c8-e626-41bb-901f-570070f2d5bf,2023-05-11,LinkedIn,Remote,18,bca9384056691b07
fd580a83-3162-4a89-86f1-ee054b08e79e,2023-12-13,Referral,Austin,28,225093b22ba88975
4ba7c6fb-bb73-4860-a4b5-5ba7a4333f41,2023-06-26,CareerSite,Remote,44,0acc9260a09fccbf
d8aeb38f-7115-4fcc-8753-9ca5c89b3bdf,2023-05-09,Agency,Fremont,12,04e1f2220366f47e
1b022240-ec06-4ac0-b3b5-949301d39579,2023-07-16,Agency,Austin,15,1bc77f59f4876618
8d180a10-30af-459c-ac87-720fcdfc7820,2023-07-15,CareerSite,Other,18,528a0ba693740702
80ced6bb-592c-4727-9e67-1793a020cedd,2023-12-25,CareerSite,Austin,42,92dcde03b90f4ecc
429973d6-2921-49b2-8c62-5be1bdd6cddf,2023-07-22,CareerSite,Austin,36,3d619a80cb72cbf3
198dd535-4f1d-44c3-94f1-821da5940f1b,2023-12-18,LinkedIn,Other,47,e5ab855c3cb896d1
bdae9181-205b-428b-8173-28e1e92b0574,2023-09-12,CareerSite,Dallas,38,de5c6044071daeda
16c4081a-cac0-49d3-853d-9cab39ac533c,2023-06-30,Referral,Dallas,39,af6142d32d9c5189
27caa222-cabb-4321-9fc1-36816a03c8ae,2023-05-09,Referral,Austin,40,7960aba4c47868e5
dead885e-b7cd-4dd1-b2d2-e1b53dd85743,2023-11-27,LinkedIn,Fremont,50,f96a566ab2ac3cf2
074dbb77-c6a6-461a-ba22-1c5b1d9a41f1,2023-08-14,LinkedIn,Other,23,2ad65417b39b8b80
f41d7f5d-5be2-4db1-a174-44d0114469f4,2023-03-09,LinkedIn,Fremont,20,beae59275140cfe8
1d1e5663-bd10-4b7e-9e26-d6ac87fc505e,2023-08-01,Referral,Dallas,8,24b6dbacdedadf22
c1651fae-d76d-4ca7-aee9-58a8c1c1298b,2023-10-04,CareerSite,Other,32,561f847647774cc1
09addf3c-9faa-4ab8-9051-13267be1c5a0,2023-05-20,Referral,Fremont,30,2660672dc64a0ae0
b07898d6-f076-4d36-b192-717f5acefb7f,2023-06-01,CareerSite,Austin,29,231241e95fa0f9cd
0fc0d473-bd72-43f1-9d55-457aca8e4d27,2023-02-08,Referral,Dallas,43,ead6a5d28f8d43a0
8164e361-2906-4f02-8c81-ec2d68d6b86c,2023-12-12,Agency,Other,23,695aaf3e042fc213
d64e8efe-387d-4bda-8eaa-f804704a74d3,2023-02-16,Agency,Austin,16,0f37dd621a28add2
63a2c8cc-030a-448d-9bc7-05cb9daa98d2,2023-10-02,LinkedIn,Remote,23,ec5ee9c9cb93164f
9a8a40b7-e057-4a64-b456-8b9df184313d,2023-12-11,CareerSite,Other,24,0dfbc86ad6de9296
42d1bb6e-3b10-40b3-8e14-0562b8608992,2023-11-23,CareerSite,Austin,43,dcffcf7c990d9230
97eb8631-a1e8-459e-a668-8b5d37961c0f,2023-04-30,Agency,Austin,39,4b209ba5b3f5e1e8
493308b5-2f6d-453c-886b-9991ac349a67,2023-10-15,CareerSite,Other,14,52b60f1228856ea2
69a76c92-dc58-4acd-8d7a-ddef05b83a0b,2023-11-28,LinkedIn,Remote,44,b382eee8a1e927ee
b1e0e523-1772-4ab3-a7dd-a6363400f22c,2023-06-04,Agency,Austin,8,d95e5209182f0cd4
51b6f942-4d9d-440b-a0ee-37a7e4d8a838,2023-01-24,LinkedIn,Fremont,31,ee8bb2e497f11a08
c4fb2b32-cf2b-4ba5-bbe8-4fb29b9a011c,2023-03-01,LinkedIn,Dallas,34,3ba35621a8b4afa4
a70196ea-8c7f-4a3d-8e52-2b7a96762484,2023-03-11,Agency,Remote,23,79a481652dae1009
eb515d87-11b0-4b01-9a67-513aadad74b7,2023-12-10,Agency,Other,47,514e857c7840eb1e
20a4c77d-9e1e-4466-8adf-8835fbb7cc97,2023-03-21,Agency,Austin,31,711968949e6e1630
981329e9-02b6-46c0-9547-802a1e182c48,2023-11-12,Agency,Fremont,2,03970b6d7587b4c1
80172ecf-0193-4ebc-b4cb-75bf75694ad8,2023-12-20,CareerSite,Dallas,28,42378b182b047f5e
e8d4b5c1-7940-4764-8059-57b6e8cdc2c4,2023-08-16,Referral,Fremont,6,c11bd616399ef7de
3306ed72-a79d-49f5-a9c0-7606b7b83264,2023-12-18,CareerSite,Other,41,b58db892c3c10cc8
199cf3dd-f9f2-4537-a94e-a43310e07488,2023-07-03,LinkedIn,Remote,17,d794882e56324d00
a7eb591a-52c0-407d-a46d-0eaf33dd8d6e,2023-04-08,LinkedIn,Remote,5,3217c220930cc65d
85e9fdd5-8388-438f-9915-56931bc91bae,2023-12-06,Referral,Other,1,a8690afc85133768
65708e85-ae18-4e67-bcd6-3dde60578645,2023-01-26,CareerSite,Dallas,8,e69f5501c5357d23
c4bac5a4-f381-46dd-a299-70f5c6f26560,2023-10-17,Referral,Austin,48,214260f200a27f34
26e5d572-421d-4923-9182-c8760bb6e115,2023-10-11,Referral,Other,13,8ef9d6b2d1d09330
8a678d98-0361-4552-be98-73efd5cc8a5b,2023-04-30,CareerSite,Dallas,50,4b33722697b94f48
6cff1e15-51ba-4297-89ba-4507194147da,2023-11-02,LinkedIn,Fremont,9,92f48b8de83c143c
7ce211d7-0b20-4793-88a6-508c2d195ba5,2023-03-08,CareerSite,Dallas,7,4ac7acc4bedf04dc
f670f960-7cb0-40be-b627-d79f5214c04d,2023-12-05,LinkedIn,Dallas,0,c509823c0820d9d7
09c8c3af-43f9-4d00-815c-1d6468756c9d,2023-07-03,Referral,Other,20,e76156a6c893af80
